Title,URL,Managed By,Small Description,CAGR time period,CAGR rate,Volatility,Overview,Minimum investment amount,Launch Date,Past performance: Small Case,Past performance: Equity,Past performance: FD,Past performance: Inflation,CAGR: Small Case,CAGR: Equity,CAGR: FD,CAGR: Inflation,Number of Smallcases managed by Manager,About manager
All Weather Investing,https://www.smallcase.com/smallcase/all-weather-investing-SCAW_0001,Windmill Capital,One investment for all market conditions. Works for everyone,4Y,11.14,Low ,"All Weather Investing is a popular strategy that ensures your investments do well in good as well as bad times. This is a long-term investment strategy that you can use to build wealth over the years to come.

This smallcase invests in 3 asset classes--equity, debt and gold
The portfolio is rebalanced periodically to generate relatively higher returns by assuming the least possible risks

This smallcase is ideal for all types of market conditions. It will ensure that neither will your investment ship sink, nor will the investment flight soar to scary heights. What you will get here is a steady ride to help you meet your long-term investment goals. ",5585,29/06/2007,153.47,160.55,124.85,123.15,10.97%,12.19%,5.54%,5.19%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Top 100 Stocks,https://www.smallcase.com/smallcase/top-100-stocks-SCET_0004,Windmill Capital,India's most powerful companies in one portfolio. Solid stability,4Y,15.25,Medium ,smallcase invests in top 100 marketcap companies using Nippon India ETF Nifty Bees for top 50 companies and Nippon India ETF Junior Bees for 51-100 marketcap companiesLarge cap companies are usually well established and the chances of such companies going bust are lowAdding such stocks to the portfolio increases stability of the portfolio as their stock prices are not very volatile. They are also best suited for long term wealth creation,2182,29/06/2007,166.15,160.18,120.7,120.95,15.16%,13.99%,5.37%,5.43%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Dividend Aristocrats,https://www.smallcase.com/smallcase/dividend-aristocrats-SCMO_0014,Windmill Capital,Companies that have been consistently increasing dividends. Extra goodness,6Y,22.52,Medium ,"For long-term investors, dividend returns are very important as they are an additional income that is earned over and above the capital gains earned by holding onto the stock.

This smallcase consists of companies that have increased their dividend payout consecutively for the last 10 years.

Stock returns consist of two parts--price return and dividend return. An investor can earn back a significant portion of the investment in the form of dividends, before selling the stock.",40000,03/03/2014,360.88,226.31,144.86,134.23,22.22%,13.62%,5.96%,4.71%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Equity & Gold,https://www.smallcase.com/smallcase/equity-and-gold-SCET_0005,Windmill Capital,"Create wealth with equities, stay protected with Gold. The sweet spot",4Y,16.02,Low ,"This smallcase invests in Equity &amp; Gold, fixing their weights to 70% and 30%.smallcase invests in large-cap companies using Nippon India ETF Nifty BeesLarge cap companies are usually well established and the chances of such companies going bust are lowAdding such stocks to the portfolio increases stability of the portfolio as their stock prices are not very volatile. They are also best suited for long term wealth creationsmallcase invests in Gold using Nippon India ETF Gold BeesHistorically gold has maintained its value and is the best form of hedge against inflation and geo-political uncertaintiesSince price of gold is negatively correlated with price of stock, the former is a very effective portfolio diversifier&nbsp;",281,29/06/2007,169.8,161.23,120.81,121.02,15.79%,14.14%,5.37%,5.43%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
CANSLIM-esque,https://www.smallcase.com/smallcase/canslim-esque-SCMO_0029,Windmill Capital,"Efficiently managed growing companies experiencing positive momentum, screened using CANSLIM methodology",5Y,24.04,Medium ,"CANSLIM is an investment model of specific criterion set out by William O’Neil, an American stock broker and investor.CANSLIM model revolves around seven criteria - current earnings, annual earnings, the new factor, supply and demand, leader vs laggard, institutional ownership and market direction. These criteria have been modified for the Indian stock marketsThis smallcase consists of companies that have recorded greater than 10% earnings per share growth over the previous 2 years and also have high return on equity. High EPS growth in tandem with high ROE indicates that the company is making money at a fast pace while managing capital efficientlyFuture expectations regarding earnings growth have also been taken into accountAdditionally, only stocks that have been showing strong upward price movement and have performed better than 75% of all stocks over the previous 1 year are includedYou can access the asset allocation version of this smallcase with better risk-adjusted returns <a href=""https://www.smallcase.com/smallcase/canslim-esque-asset-allocation-version-SCMO_0045"" rel=""noopener noreferrer"" target=""_blank"">here",40000,03/03/2014,320.89,195.89,136.25,129.09,23.72%,13.06%,5.81%,4.77%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Green Energy,https://www.smallcase.com/smallcase/green-energy-portfolio-NIVTR_0001,Niveshaay,"A portfolio of stocks, which will get benefit from the RE sector development. Rec amount > 2 lac",1Y,87.07,High ,"This is a portfolio of stocks, which will get benefit from the energy transition. Energy transition refers to the global energy sector’s shift from fossil-based systems of energy production and consumption — including oil, natural gas, and coal — to renewable energy sources like wind and solar, as well as other sources like biofuels.&nbsp;Major Investment Rationales -Ø&nbsp;Things like solar panel installations, electric vehicle sales are at record highs.Ø&nbsp;ESG factors in Investing – Due to ESG factors in Investing, the energy transition will continue to increase in importance.Ø&nbsp;Renewable electricity is increasingly cheaper than any new power capacity based on fossil fuels, according to a report by the International Renewable Energy Agency (IRENA).Ø&nbsp;Climate change is set to be one of the top priorities for the world.Ø&nbsp;More than a hundred countries have&nbsp;joined an alliance&nbsp;aiming for net-zero emissions by 2050.",60080,22/03/2017,451.01,198.1,130.39,118.2,39.18%,15.95%,5.91%,3.69%,3,"“Over 12 years of experience in Equity Research and Investment Advisory, he started his journey as an Industry Research Analyst at ICICI Bank. Nearly a decade ago, after working in the finance industry and understanding its nuances, it caught his observation and interest that the wealth management industry was a little complex for investors to understand which induced him to quit his job. He then, started with advising on wealth management and leading investments for his family &amp; friends. That’s how Niveshaay was born. He has a firm belief that taking entrepreneur calls work better than questioning quarterly performance like an analyst and has developed that culture in the enterprise too.”"
Rising Rural Demand,https://www.smallcase.com/smallcase/rising-rural-demand-SCNM_0012,Windmill Capital,Companies that stand to benefit from increasing rural consumption,6Y,15.8,Medium ,"Consumption in rural India is growing at 1.5 times the rate in urban India.As part of Budget 2022-23, the total outlay towards major agriculture and rural development projects stands at ₹1.99 lakh croreUnder the Minimum Support Price (MSP) route, ₹2.37 lakh crore will be disbursed to approximately 163 lakh farmer accountsThe budget has introduced the concept of 'Kisan Drones' that is going to facilitate digitization of land records and efficient crop managementThe government will set up a fund with blended capital, raised under the co-investment model, having being facilitated through NABARD. This to finance agriculture and rural startups   Irrigation benefit project, 'Ken-Betwa' project to be implemented with an estimated allocation of ₹44,605 crores to cover 9.08 lakh hectare of farmer land This smallcase has companies that either derive a significant amount of their revenue from rural India or are striving to enhance their foothold across rural markets to benefit from increasing rural demand.",56926,03/03/2014,252.72,226.31,144.86,134.23,15.60%,13.62%,5.96%,4.71%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Speciality Chemicals,https://www.smallcase.com/smallcase/speciality-chemicals-SCNM_0019,Windmill Capital,Companies producing sophisticated chemicals for specific purposes. The dark horse,6Y,19.04,Medium ,"Speciality chemicals are specific items that are used in low quantities for the production of high-value goodsIndian middle class is leading a dramatic change in demand for items like food, clothing and transportation, which is primarily driving demand for speciality chemicalsFor example, caramel manufactured from sugar is a commercially produced speciality chemical. Caramel colouring is extensively used to manufacture soft drinks and confectionery itemsProduction of speciality chemicals allows customer stickiness and leads to high revenue predictabilitySince price of speciality chemicals is determined through negotiations, increase in raw material costs can also be passed on to protect marginsThis smallcase comprises companies manufacturing speciality chemicals that are used in a wide range of industries like automobiles, pharma, textiles, food processing, agrochemicals, etc",83803,03/03/2014,285.41,203.33,141.93,132.43,18.79%,12.36%,5.92%,4.72%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
Wright ⚡️ Momentum,https://www.smallcase.com/smallcase/wright-momentum-WRTNM_0001,Wright Research,Momentum investing! Invest in trending stocks.  Rec Amt: > 1 lac,2Y,58.45,High ,This is a high risk equity strategy to participate in high momentum stocks with a check for volatility. This strategy is specifically build to take advantage of the bull market.This is a multi stock portfolio of 20-25 stocks selected from the top 300 universeThe underlying equity themes consist of selecting high quality stocks with high momentum and low volatility.The historical performance of this portfolio has beaten the benchmarks by a wide margin.The rebalance of the portfolio is usually done every month to keep turnover low.,60061,01/04/2014,1173.68,255.5,166.14,146.15,36.41%,12.34%,6.50%,4.82%,2,"I have more than 10 years of professional experience in systematic portfolio management and quantitative trading in teams at HSBC, Edelweiss &amp; Qplum where I have built and handled very large scale portfolios &amp; trading algorithms.I am a globally recognized researcher in the field of machine learning in finance &amp; quantitative investing. I am a IIT Kanpur graduate and have a Masters in Financial Engineering from Worldquant University.I love quantitative research in finance and trading! I am building a business out of my deep passion for quant finance at Wright, an up &amp; coming Mumbai based investment advisory firm."
Value & Momentum,https://www.smallcase.com/smallcase/value-and-momentum-SCMO_0010,Windmill Capital,Positive momentum stocks available at a discount to their peers,6Y,23.64,High ,"A mix of value as well as momentum can be an ideal combination when it comes to stock investments.This smallcase includes stocks that are undervalued compared to their peers, but have been attracting attention off late as evidenced by their recent stock price movementsThese stocks have also earned higher than expected profits during the latest reported periodInvest in this smallcase to get exposure to undervalued stocks that are witnessing momentum in their price.You can access the asset allocation version of this smallcase with better risk-adjusted returns <a href=""https://www.smallcase.com/smallcase/value-and-momentum-asset-allocation-version-SCMO_0044"" rel=""noopener noreferrer"" target=""_blank"">here",16198,03/03/2014,382.42,226.31,144.86,134.23,23.33%,13.62%,5.96%,4.71%,53,"We build investment products and curated stock/ETF portfolios to help our users achieve their financial goals.&nbsp;Our aim is to be the one-stop-shop for all investing needs for a retail investor. Over 50 portfolios - from high-volatility, pure-equity strategies to low-volatility, asset allocation models, are currently managed by us. We use data, fundamental analysis and mathematical models while assessing sectors, companies, and various asset classes. This makes our approach cautious, yet ambitious! While data and algos help drive our decisions, our analysts step in when the machines fail. With their experience and eye for detail, we were able to avoid companies like Yes Bank, Manpasand Beverages etc which looked good on the outside but were ultimately proved to be wealth destroyers."
